front,front_sub,front_romaji,back,back_romaji,example_jp,example_romaji,example_en
食べる,,taberu,食べさせる,tabesaseru,子供に野菜を食べさせた。,Kodomo ni yasai wo tabesaseta.,I made the child eat vegetables.
飲む,,nomu,飲ませる,nomaseru,薬を飲ませた。,Kusuri wo nomaseta.,I made them drink the medicine.
書く,,kaku,書かせる,kakaseru,学生にレポートを書かせた。,Gakusei ni repooto wo kakaseta.,I made the students write a report.
読む,,yomu,読ませる,yomaseru,本を読ませた。,Hon wo yomaseta.,I made them read the book.
する,,suru,させる,saseru,掃除をさせた。,Souji wo saseta.,I made them clean.
くる,,kuru,こさせる,kosaseru,早く来させた。,Hayaku kosaseta.,I made them come early.
聞く,,kiku,聞かせる,kikaseru,音楽を聞かせた。,Ongaku wo kikaseta.,I let them listen to music.
待つ,,matsu,待たせる,mataseru,長く待たせてすみません。,Nagaku matasete sumimasen.,Sorry for making you wait.
泣く,,naku,泣かせる,nakaseru,映画が私を泣かせた。,Eiga ga watashi wo nakaseta.,The movie made me cry.
笑う,,warau,笑わせる,warawaseru,友だちを笑わせた。,Tomodachi wo warawaseta.,I made my friend laugh.
働く,,hataraku,働かせる,hatarakaseru,社員を遅くまで働かせた。,Shain wo osoku made hatarakaseta.,I made employees work late.
行く,,iku,行かせる,ikaseru,子供を学校に行かせた。,Kodomo wo gakkou ni ikaseta.,I made the child go to school.
話す,,hanasu,話させる,hanasaseru,学生を発表させた。,Gakusei wo happyou saseta.,I made the student present.
見る,,miru,見させる,misaseru,映画を見させてください。,Eiga wo misasete kudasai.,Please let me watch the movie.
帰る,,kaeru,帰らせる,kaeraseru,早く帰らせてください。,Hayaku kaerasete kudasai.,Please let me go home early.
座る,,suwaru,座らせる,suwaraseru,子供を座らせた。,Kodomo wo suwaraseta.,I made the child sit down.
