front,front_sub,front_romaji,back,back_romaji,example_jp,example_romaji,example_en
食べる,,taberu,食べさせられる,tabesaserareru,野菜を食べさせられた。,Yasai wo tabesaserareta.,I was made to eat vegetables.
飲む,,nomu,飲まされる,nomasareru,お酒を飲まされた。,Osake wo nomasareta.,I was made to drink alcohol.
書く,,kaku,書かされる,kakasareru,長いレポートを書かされた。,Nagai repooto wo kakasareta.,I was made to write a long report.
読む,,yomu,読まされる,yomasareru,つまらない本を読まされた。,Tsumaranai hon wo yomasareta.,I was made to read a boring book.
する,,suru,させられる,saserareru,残業をさせられた。,Zangyou wo saserareta.,I was made to do overtime.
待つ,,matsu,待たされる,matasareru,一時間待たされた。,Ichijikan matasareta.,I was made to wait an hour.
歌う,,utau,歌わされる,utawasareru,カラオケで歌わされた。,Karaoke de utawasareta.,I was made to sing at karaoke.
働く,,hataraku,働かされる,hatarakasareru,毎日遅くまで働かされた。,Mainichi osoku made hatarakasareta.,I was made to work late every day.
行く,,iku,行かされる,ikasareru,出張に行かされた。,Shucchou ni ikasareta.,I was made to go on a business trip.
話す,,hanasu,話させられる,hanasaserareru,スピーチをさせられた。,Supiichu wo saserareta.,I was made to give a speech.
掃除する,,souji suru,掃除させられる,souji saserareru,一人で掃除させられた。,Hitori de souji saserareta.,I was made to clean alone.
泣く,,naku,泣かされる,nakasareru,その映画に泣かされた。,Sono eiga ni nakasareta.,I was made to cry by that movie.
くる,,kuru,こさせられる,kosaserareru,早朝に来させられた。,Souchou ni kosaserareta.,I was made to come at dawn.
買う,,kau,買わされる,kawasareru,高い物を買わされた。,Takai mono wo kawasareta.,I was made to buy expensive things.
走る,,hashiru,走らされる,hashirasareru,グラウンドを走らされた。,Guraundo wo hashirasareta.,I was made to run the field.
